,Date,Hour,Price (Euros),Day,Month,Year,BusinessDay,Season,Night,Trend_abs,Trend
0,2007-01-01,1,24.31,1,1,2007,1,0,1,,2
1,2007-01-01,2,24.31,1,1,2007,1,0,1,0.0,1
2,2007-01-01,3,21.71,1,1,2007,1,0,1,-2.599999999999998,1
3,2007-01-01,4,8.42,1,1,2007,1,0,1,-13.290000000000001,2
4,2007-01-01,5,0.01,1,1,2007,1,0,1,-8.41,2
5,2007-01-01,6,0.01,1,1,2007,1,0,1,0.0,1
6,2007-01-01,7,0.02,1,1,2007,1,0,1,0.01,1
7,2007-01-01,8,0.01,1,1,2007,1,0,0,-0.01,1
8,2007-01-01,9,0.01,1,1,2007,1,0,0,0.0,1
9,2007-01-01,10,6.31,1,1,2007,1,0,0,6.3,1
10,2007-01-01,11,7.81,1,1,2007,1,0,0,1.5,1
11,2007-01-01,12,9.31,1,1,2007,1,0,0,1.5000000000000009,1
12,2007-01-01,13,21.7,1,1,2007,1,0,0,12.389999999999999,1
13,2007-01-01,14,14.01,1,1,2007,1,0,0,-7.6899999999999995,2
14,2007-01-01,15,15.0,1,1,2007,1,0,0,0.9900000000000002,1
15,2007-01-01,16,10.0,1,1,2007,1,0,0,-5.0,2
16,2007-01-01,17,8.17,1,1,2007,1,0,0,-1.83,1
17,2007-01-01,18,27.77,1,1,2007,1,0,0,19.6,1
18,2007-01-01,19,37.99,1,1,2007,1,0,0,10.220000000000002,1
19,2007-01-01,20,33.11,1,1,2007,1,0,0,-4.880000000000003,2
20,2007-01-01,21,37.99,1,1,2007,1,0,0,4.880000000000003,1
21,2007-01-01,22,33.0,1,1,2007,1,0,0,-4.990000000000002,2
22,2007-01-01,23,36.48,1,1,2007,1,0,0,3.479999999999997,1
23,2007-01-01,24,30.65,1,1,2007,1,0,1,-5.829999999999998,2
24,2007-01-02,1,16.01,2,1,2007,1,0,1,-14.639999999999997,2
25,2007-01-02,2,11.0,2,1,2007,1,0,1,-5.010000000000002,2
26,2007-01-02,3,9.01,2,1,2007,1,0,1,-1.9900000000000002,1
27,2007-01-02,4,7.5,2,1,2007,1,0,1,-1.5099999999999998,1
28,2007-01-02,5,9.0,2,1,2007,1,0,1,1.5,1
29,2007-01-02,6,7.45,2,1,2007,1,0,1,-1.5499999999999998,1
30,2007-01-02,7,16.5,2,1,2007,1,0,1,9.05,1
31,2007-01-02,8,28.01,2,1,2007,1,0,0,11.510000000000002,1
32,2007-01-02,9,29.96,2,1,2007,1,0,0,1.9499999999999993,1
33,2007-01-02,10,39.6,2,1,2007,1,0,0,9.64,1
34,2007-01-02,11,48.15,2,1,2007,1,0,0,8.549999999999997,1
35,2007-01-02,12,49.93,2,1,2007,1,0,0,1.7800000000000011,1
36,2007-01-02,13,49.0,2,1,2007,1,0,0,-0.9299999999999997,1
37,2007-01-02,14,46.01,2,1,2007,1,0,0,-2.990000000000002,1
38,2007-01-02,15,37.57,2,1,2007,1,0,0,-8.439999999999998,2
39,2007-01-02,16,36.45,2,1,2007,1,0,0,-1.1199999999999974,1
40,2007-01-02,17,37.99,2,1,2007,1,0,0,1.5399999999999991,1
41,2007-01-02,18,53.0,2,1,2007,1,0,0,15.009999999999998,1
42,2007-01-02,19,59.69,2,1,2007,1,0,0,6.689999999999998,1
43,2007-01-02,20,50.09,2,1,2007,1,0,0,-9.599999999999994,2
44,2007-01-02,21,50.0,2,1,2007,1,0,0,-0.09000000000000341,1
45,2007-01-02,22,36.22,2,1,2007,1,0,0,-13.780000000000001,2
46,2007-01-02,23,31.09,2,1,2007,1,0,0,-5.129999999999999,2
47,2007-01-02,24,29.84,2,1,2007,1,0,1,-1.25,1
48,2007-01-03,1,28.0,3,1,2007,1,0,1,-1.8399999999999999,1
49,2007-01-03,2,24.5,3,1,2007,1,0,1,-3.5,1
50,2007-01-03,3,24.15,3,1,2007,1,0,1,-0.3500000000000014,1
51,2007-01-03,4,18.99,3,1,2007,1,0,1,-5.16,2
52,2007-01-03,5,15.5,3,1,2007,1,0,1,-3.4899999999999984,1
53,2007-01-03,6,23.11,3,1,2007,1,0,1,7.609999999999999,1
54,2007-01-03,7,29.01,3,1,2007,1,0,1,5.900000000000002,1
55,2007-01-03,8,39.73,3,1,2007,1,0,0,10.719999999999995,1
56,2007-01-03,9,43.81,3,1,2007,1,0,0,4.080000000000005,1
57,2007-01-03,10,49.09,3,1,2007,1,0,0,5.280000000000001,1
58,2007-01-03,11,51.0,3,1,2007,1,0,0,1.9099999999999966,1
59,2007-01-03,12,53.04,3,1,2007,1,0,0,2.039999999999999,1
60,2007-01-03,13,49.99,3,1,2007,1,0,0,-3.049999999999997,1
61,2007-01-03,14,47.0,3,1,2007,1,0,0,-2.990000000000002,1
62,2007-01-03,15,43.21,3,1,2007,1,0,0,-3.789999999999999,2
63,2007-01-03,16,43.99,3,1,2007,1,0,0,0.7800000000000011,1
64,2007-01-03,17,48.0,3,1,2007,1,0,0,4.009999999999998,1
65,2007-01-03,18,57.0,3,1,2007,1,0,0,9.0,1
66,2007-01-03,19,60.99,3,1,2007,1,0,0,3.990000000000002,1
67,2007-01-03,20,55.51,3,1,2007,1,0,0,-5.480000000000004,2
68,2007-01-03,21,51.77,3,1,2007,1,0,0,-3.739999999999995,2
69,2007-01-03,22,34.51,3,1,2007,1,0,0,-17.260000000000005,2
70,2007-01-03,23,39.31,3,1,2007,1,0,0,4.800000000000004,1
71,2007-01-03,24,38.05,3,1,2007,1,0,1,-1.2600000000000051,1
72,2007-01-04,1,31.01,4,1,2007,1,0,1,-7.039999999999996,2
73,2007-01-04,2,28.69,4,1,2007,1,0,1,-2.3200000000000003,1
74,2007-01-04,3,27.0,4,1,2007,1,0,1,-1.6900000000000013,1
75,2007-01-04,4,24.2,4,1,2007,1,0,1,-2.8000000000000007,1
76,2007-01-04,5,12.02,4,1,2007,1,0,1,-12.18,2
77,2007-01-04,6,27.0,4,1,2007,1,0,1,14.98,1
78,2007-01-04,7,28.0,4,1,2007,1,0,1,1.0,1
79,2007-01-04,8,34.85,4,1,2007,1,0,0,6.850000000000001,1
80,2007-01-04,9,41.31,4,1,2007,1,0,0,6.460000000000001,1
81,2007-01-04,10,42.03,4,1,2007,1,0,0,0.7199999999999989,1
